Nodo1	Nodo2	Distanza pixel	Stima tempo di percorrenza (min)
X1	X2	790	5
X2	8	170	1
X2	6	180	1
X2	9	385	2
9	X3	610	4
X3	5n	560	4
X3	5s	520	3
X3	X4	300	2
X4	X5	180	1
X5	4	480	3
X5	3	690	4
X4	X6	700	4
X6	3	170	1
3	1	1060	7
X6	2	1280	8
9	X7	420	3
X7	10	300	2
X7	X8	220	1
X8	X13	290	2
X13	11n	280	2
X12	X13	280	2
X12	10b	420	3
10b	X11	1010	6
X11	13	230	1
X11	14	400	3
X10	14	500	3
X10	15	530	3
15	16	510	3
X9	X10	200	1
X9	X12	325	2
X8	X9	340	2
X8	11s	490	3
X14	11s	170	1
X7	X14	470	3
X14	X15	440	3
X15	X16	430	3
X15	12	540	3
12	17	805	5
17	X16	495	3
X16	X17	175	1
9	7	365	2
7	X17	600	4
24	X17	215	1
X17	X18	520	3
X18	23	400	3
23	31	290	2
22	23	1390	9
X19	22	325	2
X18	X19	665	4
X19	X20	740	5
26	X20	420	3
19	X20	480	3
X20	X21	615	4
X21	25/1	835	5
25/1	25/2	335	2
X21	20	1040	7
20	X22	970	6
X22	20b	95	1
X22	21	325	2