codice;nome_reparto
10004;1
10016;10b
10370;10b
10245;23
10257;23
10445;23
10057;24
10045;24
10046;24
10003;11n
10014;11n
10372;11n
10142;11n
10249;11n
10361;11n
10363;11n
10242;11n
10103;11n
10381;11n
10018;11n
10368;11n
10374;11n
10281;11n
10001;11s
10168;11s
10163;11s
10010;11s
10390;3
10140;3
10240;3
10241;3
10020;3
10190;3
10021;3
10233;4
10231;4
10044;10
10579;25/2
10585;25/2
11631;25/1
10394;25/1
10194;25/1
10224;5n
10035;5s
10002;19
10391;19
10013;19
10034;19
10251;19
10012;19
10153;19
10238;19
10250;19
10252;19
10239;19
10189;19
10260;19
10152;19
10139;19
10154;19
10398;14
10225;14
10198;15
10583;15
10186;15
10011;15
19000;7
10237;7
10259;16
10389;13
10384;13